"","Group","Name","Benchmark","num_stores_marked","p","dyn","mag"
"1","cBench","src","cBench/consumer_jpeg_c/src",11,0.74,1452140424,9
"2","DOE_ProxyApps_C","miniGMG","DOE_ProxyApps_C/miniGMG",24,0.79,442487372,9
"3","FreeBench","neural","FreeBench/neural",2,0.75,510094241,9
"4","MallocBench","cfrac","MallocBench/cfrac",3,0.85,814476871,9
"5","MallocBench","espresso","MallocBench/espresso",39,0.91,99431649,8
"6","MallocBench","gs","MallocBench/gs",26,0.68,9174749,7
"7","MallocBench","make","MallocBench/make",2,0.55,22788,4
"8","McCat","08-main","McCat/08-main",1,0.92,15216946,7
"9","mediabench","jpeg-6a","mediabench/jpeg/jpeg-6a",11,0.72,657342,6
"10","MiBench","consumer-jpeg","MiBench/consumer-jpeg",12,0.51,2180276,6
"11","Misc","ffbench","Misc/ffbench",2,0.99,295214850,8
"12","Ptrdist","anagram","Ptrdist/anagram",4,0.85,339525631,9
"13","tramp3d-v4","tramp3d-v4","tramp3d-v4",13,0.73,787400177,9
"14","TSVC","ControlFlow-flt","TSVC/ControlFlow-flt",22,0.79,2635524508,9
"15","TSVC","ControlLoops-flt","TSVC/ControlLoops-flt",5,0.63,2573030150,9
"16","TSVC","Expansion-dbl","TSVC/Expansion-dbl",2,0.5,3664714692,10
"17","TSVC","Expansion-flt","TSVC/Expansion-flt",2,0.5,3664714692,10
"18","TSVC","GlobalDataFlow-flt","TSVC/GlobalDataFlow-flt",4,0.83,3552154785,10
"19","TSVC","InductionVariable-flt","TSVC/InductionVariable-flt",1,0.87,3748208992,10
"20","TSVC","LinearDependence-dbl","TSVC/LinearDependence-dbl",7,0.69,3990210890,10
"21","TSVC","LinearDependence-flt","TSVC/LinearDependence-flt",7,0.69,3990210890,10
"22","TSVC","Recurrences-dbl","TSVC/Recurrences-dbl",1,1,1600680612,9
"23","TSVC","Recurrences-flt","TSVC/Recurrences-flt",1,1,1600680612,9
"24","TSVC","StatementReordering-dbl","TSVC/StatementReordering-dbl",2,0.5,3840636612,10
"25","TSVC","StatementReordering-flt","TSVC/StatementReordering-flt",2,0.94,3840636612,10
"26","TSVC","Symbolics-flt","TSVC/Symbolics-flt",2,0.87,3782267522,10
"27","VersaBench","bmm","VersaBench/bmm",1,0.96,1077936131,9
"28","VersaBench","dbms","VersaBench/dbms",7,1,60565863,8
