benchmark,tipo,time
doitgen,ss,5.438
doitgen,ae,3.844
doitgen,plp,6.148
doitgen,org,3.338
bicg,ss,2.253
bicg,plp,2.090
bicg,ae,2.125
bicg,org,2.090
ata,ss,1.766
ata,ae,1.446
ata,org,1.169
ata,plp,1.875
mvt,org,6.850
mvt,ae,7.616
mvt,plp,6.829
mvt,ss,7.131
3mm,org,17.080
3mm,plp,17.082
3mm,ae,16.966
3mm,ss,18.313
2mm,plp,10.298
2mm,org,10.283
2mm,ss,11.095
2mm,ae,10.265
trmm,plp,87.658
trmm,org,87.332
trmm,ss,84.412
trmm,ae,84.567
syrk,ss,48.355
syrk,org,52.142
syrk,ae,50.027
symm,plp,94.073
symm,ss,91.153
symm,org,93.807
symm,ae,93.029
gesummv,ae,0.979
gesummv,org,0.976
gesummv,plp,0.977
gesummv,ss,1.008
gemver,ae,7.977
gemver,plp,7.382
gemver,ss,7.647
gemver,org,7.288
gemm,plp,6.354
gemm,org,6.367
gemm,ss,9.478
gemm,ae,12.540
cholesky,ss,1.541
cholesky,org,1.169
cholesky,ae,3.154
cholesky,plp,3.170
ludcmp,org,16.847
ludcmp,ae,16.815
ludcmp,plp,16.848
ludcmp,ss,16.817
lu,ae,16.633
lu,plp,16.294
lu,org,15.544
lu,ss,16.346
trisolv,plp,0.657
trisolv,ss,0.862
trisolv,org,0.656
trisolv,ae,0.675
gramschmidt,org,21.066
gramschmidt,plp,20.044
gramschmidt,ss,20.438
gramschmidt,ae,20.436
covarianc,org,10.874
covarianc,ss,10.699
covarianc,plp,10.420
covarianc,ae,10.637
correlation,ss,10.714
correlation,org,10.854
correlation,ae,10.568
correlation,plp,10.867
fdtd-2d,plp,2.654
fdtd-2d,org,2.654
fdtd-2d,ss,2.772
fdtd-2d,ae,2.961
