"","Benchmark","ORG","ESS","EAE","PLP","Speedup_ORG","Speedup_PLP","Speedup_EAE","Speedup_ESS"
"1","2mm",10.283,11.095,10.265,10.298,1,0.998543406486696,1.00175353141744,0.926813880126183
"2","3mm",17.08,18.313,16.966,17.082,1,0.999882917691137,1.00671932099493,0.932670780319991
"3","ata",1.169,1.766,1.446,1.875,1,0.623466666666667,0.808437067773167,0.661947904869762
"4","bicg",2.09,2.253,2.125,2.09,1,1,0.983529411764706,0.927652019529516
"5","cholesky",1.169,1.541,3.154,3.17,1,0.368769716088328,0.370640456563095,0.758598312783907
"6","correlation",10.854,10.714,10.568,10.867,1,0.998803717677372,1.02706283118849,1.0130670151204
"7","covarianc",10.874,10.699,10.637,10.42,1,1.04357005758157,1.02228071824763,1.01635666884756
"8","doitgen",3.338,5.438,3.844,6.148,1,0.542940793754066,0.868366285119667,0.613828613460831
"9","fdtd-2d",2.654,2.772,2.961,2.654,1,1,0.896318811212428,0.957431457431458
"10","gemm",6.367,9.478,12.54,6.354,1,1.00204595530375,0.507735247208931,0.671766195399873
"11","gemver",7.288,7.647,7.977,7.382,1,0.987266323489569,0.9136266766955,0.953053485026808
"12","gesummv",0.976,1.008,0.979,0.977,1,0.998976458546571,0.996935648621042,0.968253968253968
"13","gramschmidt",21.066,20.438,20.436,20.044,1,1.05098782678108,1.03082795067528,1.03072707701341
"14","lu",15.544,16.346,16.633,16.294,1,0.953970786792684,0.934527746047015,0.950936008809495
"15","ludcmp",16.847,16.817,16.815,16.848,1,0.999940645773979,1.0019030627416,1.00178390913956
"16","mvt",6.85,7.131,7.616,6.829,1,1.00307512080832,0.899422268907563,0.960594587014444
"17","symm",93.807,91.153,93.029,94.073,1,0.997172408661359,1.00836298358576,1.02911588208836
"18","trisolv",0.656,0.862,0.675,0.657,1,0.998477929984779,0.971851851851852,0.761020881670534
"19","trmm",87.332,84.412,84.567,87.658,1,0.996281001163613,1.03269596887675,1.03459223807042
