Benchmark,exec1,exec2,exec3,exec4,exec5,Mean
Benchs/PolyBench/datamining/correlation,11.77,11.70,11.75,11.75,11.75,11.74
Benchs/PolyBench/datamining/covariance,11.62,11.63,11.69,11.66,11.62,11.64
Benchs/PolyBench/linear-algebra/blas/gemm,10.18,10.10,10.16,10.12,10.10,10.13
Benchs/PolyBench/linear-algebra/blas/gemver,9.57,9.60,9.63,9.65,9.58,9.61
Benchs/PolyBench/linear-algebra/blas/gesummv,5.58,5.58,5.58,5.63,5.58,5.59
Benchs/PolyBench/linear-algebra/blas/symm,97.06,97.02,96.61,96.81,96.76,96.85
Benchs/PolyBench/linear-algebra/blas/syrk,56.90,57.02,56.87,56.87,56.97,56.93
Benchs/PolyBench/linear-algebra/blas/trmm,91.66,91.00,91.36,91.60,91.91,91.50
Benchs/PolyBench/linear-algebra/kernels/2mm,11.17,11.15,11.14,11.22,11.16,11.17
Benchs/PolyBench/linear-algebra/kernels/3mm,17.87,17.86,17.87,17.95,17.92,17.89
Benchs/PolyBench/linear-algebra/kernels/atax,6.24,6.24,6.24,6.25,6.24,6.24
Benchs/PolyBench/linear-algebra/kernels/bicg,7.50,7.42,7.41,7.55,7.42,7.46
Benchs/PolyBench/linear-algebra/kernels/doitgen,14.51,14.56,14.55,14.59,14.60,14.56
Benchs/PolyBench/linear-algebra/kernels/mvt,10.02,9.95,9.91,9.92,10.02,9.96
Benchs/PolyBench/linear-algebra/solvers/cholesky,32.75,32.75,32.67,32.79,32.82,32.76
Benchs/PolyBench/linear-algebra/solvers/gramschmidt,21.81,21.59,21.60,21.65,21.56,21.64
Benchs/PolyBench/linear-algebra/solvers/lu,48.10,48.12,48.16,48.48,48.34,48.24
Benchs/PolyBench/linear-algebra/solvers/ludcmp,45.88,45.75,45.75,45.69,45.78,45.77
Benchs/PolyBench/linear-algebra/solvers/trisolv,5.25,5.27,5.26,5.25,5.25,5.26
Benchs/PolyBench/stencils/fdtd-2d,5.55,5.43,5.43,5.56,5.44,5.48
