Benchmark,exec1,exec2,exec3,exec4,exec5,Mean
Benchs/PolyBench/datamining/correlation,11.796,11.782,11.828,11.776,11.782,11.7928
Benchs/PolyBench/datamining/covariance,11.911,11.937,11.88,11.953,11.952,11.9266
Benchs/PolyBench/linear-algebra/blas/gemm,31.751,31.789,31.752,31.762,31.868,31.7844
Benchs/PolyBench/linear-algebra/blas/gemver,10.222,10.203,9.929,10.094,9.96,10.0816
Benchs/PolyBench/linear-algebra/blas/gesummv,5.531,5.522,5.526,5.533,5.523,5.527
Benchs/PolyBench/linear-algebra/blas/symm,96.1,96.31,96.065,95.997,95.532,96.0008
Benchs/PolyBench/linear-algebra/blas/syrk,54.394,54.437,54.375,54.32,54.47,54.3992
Benchs/PolyBench/linear-algebra/blas/trmm,90.319,90.855,89.398,90.447,90.066,90.217
Benchs/PolyBench/linear-algebra/kernels/2mm,11.179,11.194,11.204,11.217,11.196,11.198
Benchs/PolyBench/linear-algebra/kernels/3mm,18.105,18.094,18.125,18.125,18.075,18.1048
Benchs/PolyBench/linear-algebra/kernels/atax,6.5,6.5,6.493,6.504,6.501,6.4996
Benchs/PolyBench/linear-algebra/kernels/bicg,8.512,8.503,8.569,8.503,8.511,8.5196
Benchs/PolyBench/linear-algebra/kernels/doitgen,16.243,16.23,16.191,16.249,16.219,16.2264
Benchs/PolyBench/linear-algebra/kernels/mvt,9.871,9.666,9.199,9.726,9.864,9.6652
Benchs/PolyBench/linear-algebra/solvers/cholesky,64.625,64.99,64.724,64.628,64.708,64.735
Benchs/PolyBench/linear-algebra/solvers/gramschmidt,23.203,22.786,23.16,23.072,22.782,23.0006
Benchs/PolyBench/linear-algebra/solvers/lu,79.351,79.087,78.918,79.197,79.161,79.1428
Benchs/PolyBench/linear-algebra/solvers/ludcmp,77.245,77.031,77.052,77.136,77.302,77.1532
Benchs/PolyBench/linear-algebra/solvers/trisolv,5.417,5.427,5.423,5.421,5.426,5.4228
Benchs/PolyBench/stencils/fdtd-2d,5.875,5.897,5.94,5.9,5.948,5.912
