Benchmark,exec1,exec2,exec3,exec4,exec5,Mean
Benchs/PolyBench/datamining/correlation,11.23,11.22,11.31,11.26,11.21,11.25
Benchs/PolyBench/datamining/covariance,11.66,11.62,11.61,11.66,11.64,11.64
Benchs/PolyBench/linear-algebra/blas/gemm,16.83,16.82,16.83,16.85,16.86,16.84
Benchs/PolyBench/linear-algebra/blas/gemver,10.27,10.39,9.87,9.92,9.40,9.97
Benchs/PolyBench/linear-algebra/blas/gesummv,5.60,5.60,5.60,5.60,5.58,5.60
Benchs/PolyBench/linear-algebra/blas/symm,93.74,94.17,94.31,94.31,94.06,94.12
Benchs/PolyBench/linear-algebra/blas/syrk,53.74,53.60,53.45,53.52,53.37,53.54
Benchs/PolyBench/linear-algebra/blas/trmm,86.95,85.94,85.36,86.41,85.80,86.09
Benchs/PolyBench/linear-algebra/kernels/2mm,11.27,11.31,11.35,11.28,11.32,11.31
Benchs/PolyBench/linear-algebra/kernels/3mm,17.78,17.82,17.87,17.80,17.80,17.81
Benchs/PolyBench/linear-algebra/kernels/atax,6.98,6.92,6.92,6.91,6.93,6.93
Benchs/PolyBench/linear-algebra/kernels/bicg,7.39,7.38,7.39,7.38,7.45,7.40
Benchs/PolyBench/linear-algebra/kernels/doitgen,17.37,17.40,17.31,17.37,17.38,17.37
Benchs/PolyBench/linear-algebra/kernels/mvt,9.91,9.88,9.86,9.87,9.96,9.90
Benchs/PolyBench/linear-algebra/solvers/cholesky,34.79,34.72,34.70,34.63,34.77,34.72
Benchs/PolyBench/linear-algebra/solvers/gramschmidt,21.70,21.56,21.56,21.56,21.63,21.60
Benchs/PolyBench/linear-algebra/solvers/lu,48.97,48.71,48.83,48.84,49.08,48.89
Benchs/PolyBench/linear-algebra/solvers/ludcmp,45.91,45.91,45.69,45.80,45.71,45.81
Benchs/PolyBench/linear-algebra/solvers/trisolv,5.42,5.43,5.41,5.41,5.41,5.42
Benchs/PolyBench/stencils/fdtd-2d,5.75,5.67,5.64,5.65,5.66,5.67
Benchs/TSVC/Recurrences-dbl,2.07,2.07,2.05,2.05,2.07,2.06
Benchs/TSVC/Recurrences-flt,1.95,1.95,1.95,1.95,1.95,1.95
Benchs/VersaBench/bmm,3.14,3.14,3.13,3.15,3.15,3.14
Benchs/McCat/08-main,0.04,0.04,0.04,0.04,0.04,0.04
Benchs/TSVC/LinearDependence-flt,2.17,2.22,2.18,2.18,2.18,2.19
Benchs/TSVC/LinearDependence-dbl,2.77,2.79,2.77,2.78,2.78,2.78
Benchs/TSVC/StatementReordering-flt,2.15,2.15,2.15,2.15,2.15,2.15
Benchs/TSVC/StatementReordering-dbl,2.84,2.84,2.84,2.84,2.84,2.84
Benchs/TSVC/Expansion-dbl,2.38,2.40,2.37,2.39,2.38,2.38
Benchs/TSVC/Expansion-flt,1.39,1.37,1.39,1.38,1.40,1.39
Benchs/TSVC/ControlLoops-dbl,2.34,2.34,2.33,2.34,2.33,2.34
Benchs/TSVC/ControlLoops-flt,2.27,2.28,2.28,2.28,2.27,2.28
Benchs/Ptrdist/yacr2,0.59,0.59,0.59,0.60,0.59,0.59
Benchs/DOE_ProxyApps_C/Pathfinder,1.91,1.91,1.90,1.91,1.92,1.91
Benchs/TSVC/GlobalDataFlow-flt,1.81,1.82,1.81,1.81,1.82,1.81
Benchs/TSVC/LoopRestructuring-flt,2.53,2.60,2.63,2.57,2.59,2.58
