Benchmark,exec1,exec2,exec3,exec4,exec5,Mean
ASCI_Purple,1.81,1.81,1.81,1.81,1.8,1.81
bzip2e,3.43,3.43,3.45,3.43,3.43,3.43
consumer_jpeg_c,4.8,4.79,4.82,4.83,4.81,4.81
consumer_jpeg_d,21.82,21.66,21.52,21.46,21.59,21.61
consumer_lame,3.77,3.77,3.78,3.74,3.8,3.77
consumer_tiffdither,6.2,6.24,6.21,6.2,6.25,6.22
miniGMG,4.98,4.98,5.11,5.0,4.99,5.01
Pathfinder,1.91,1.91,1.9,1.91,1.92,1.91
distray,6.0,6.01,5.99,5.99,5.99,6.0
neural,7.62,7.62,7.62,7.61,7.62,7.62
cfrac,2.63,2.63,2.64,2.64,2.7,2.65
espresso,0.31,0.3,0.31,0.31,0.31,0.31
gs,0.04,0.04,0.04,0.04,0.04,0.04
08-main,0.04,0.04,0.04,0.04,0.04,0.04
g721encode,0.08,0.08,0.08,0.08,0.08,0.08
ffbench,0.47,0.46,0.47,0.47,0.47,0.47
health,2.95,2.96,2.96,2.96,2.98,2.96
anagram,0.6,0.6,0.61,0.6,0.6,0.6
yacr2,0.59,0.59,0.59,0.6,0.59,0.59
tramp3d-v4,11.84,11.84,11.85,11.92,11.83,11.86
ControlLoops-dbl,2.34,2.34,2.33,2.34,2.33,2.34
ControlLoops-flt,2.27,2.28,2.28,2.28,2.27,2.28
Expansion-dbl,2.38,2.4,2.37,2.39,2.38,2.38
Expansion-flt,1.39,1.37,1.39,1.38,1.4,1.39
LinearDependence-dbl,2.77,2.79,2.77,2.78,2.78,2.78
LinearDependence-flt,2.17,2.22,2.18,2.18,2.18,2.19
Recurrences-dbl,2.07,2.07,2.05,2.05,2.07,2.06
Recurrences-flt,1.95,1.95,1.95,1.95,1.95,1.95
StatementReordering-dbl,2.84,2.84,2.84,2.84,2.84,2.84
StatementReordering-flt,2.15,2.15,2.15,2.15,2.15,2.15
bmm,3.14,3.14,3.13,3.15,3.15,3.14
dbms,0.83,0.82,0.82,0.82,0.83,0.82
ControlFlow-flt,2.55,2.55,2.56,2.56,2.55,2.56
GlobalDataFlow-flt,1.81,1.82,1.81,1.81,1.82,1.81
InductionVariable-flt,1.98,1.99,1.99,1.98,1.99,1.99
LoopRestructuring-flt,2.53,2.60,2.63,2.57,2.59,2.58
Symbolics-flt,0.97,0.99,1.00,1.00,1.00,0.99
