Benchmark,exec1,exec2,exec3,exec4,exec5,Mean
ASCI_Purple,1.49,1.51,1.5,1.5,1.5,1.5
bzip2e,3.4,3.38,3.34,3.38,3.35,3.37
consumer_jpeg_c,4.85,4.79,4.86,4.78,4.78,4.81
consumer_jpeg_d,21.29,21.94,22.51,21.96,22.01,21.94
consumer_lame,3.62,3.68,3.76,3.65,3.65,3.67
consumer_tiffdither,6.16,6.1,6.02,6.11,6.02,6.08
miniGMG,5.4,5.59,5.41,5.45,5.41,5.45
Pathfinder,1.95,1.91,1.91,1.9,1.91,1.92
distray,5.29,5.27,5.27,5.28,5.28,5.28
neural,7.7,7.7,7.7,7.71,7.7,7.7
cfrac,2.63,2.63,2.62,2.62,2.61,2.62
espresso,0.3,0.3,0.3,0.3,0.3,0.3
gs,0.04,0.04,0.04,0.04,0.04,0.04
08-main,0.04,0.04,0.04,0.04,0.04,0.04
g721encode,0.09,0.08,0.08,0.08,0.08,0.08
ffbench,0.57,0.57,0.57,0.57,0.57,0.57
health,2.92,2.95,2.93,2.92,2.95,2.93
anagram,0.6,0.6,0.6,0.6,0.59,0.6
yacr2,0.58,0.58,0.58,0.58,0.58,0.58
tramp3d-v4,11.8,11.79,11.78,11.78,11.77,11.78
ControlLoops-dbl,2.02,2.0,1.99,2.0,2.0,2.0
ControlLoops-flt,1.5,1.53,1.51,1.5,1.5,1.51
Expansion-dbl,2.39,2.39,2.37,2.38,2.38,2.38
Expansion-flt,1.32,1.33,1.33,1.34,1.33,1.33
LinearDependence-dbl,2.25,2.25,2.22,2.27,2.24,2.25
LinearDependence-flt,1.51,1.49,1.5,1.5,1.49,1.5
Recurrences-dbl,2.81,2.84,2.83,2.82,2.85,2.83
Recurrences-flt,2.73,2.73,2.73,2.73,2.73,2.73
StatementReordering-dbl,2.59,2.59,2.58,2.58,2.58,2.58
StatementReordering-flt,1.66,1.67,1.67,1.66,1.67,1.67
bmm,6.36,6.36,6.36,6.42,6.42,6.38
dbms,0.83,0.83,0.82,0.82,0.83,0.82
ControlFlow-flt,2.25,2.24,2.24,2.24,2.24,2.58
GlobalDataFlow-flt,1.39,1.39,1.39,1.40,1.41,1.87
InductionVariable-flt,1.98,2.01,1.99,2.00,1.98,1.99
LoopRestructuring-flt,2.34,2.41,2.38,2.29,2.43,2.58
Symbolics-flt,0.83,0.79,0.79,0.82,0.85,0.99
