Benchmark,ORG_Mean,Intra_Mean,ALP,Intra_pvalue,Inter_Mean,ILP,Inter_pvalue
Benchs/PolyBench/datamining/correlation,11.760,11.836,0.994,0.000,11.761,1.000,0.964
Benchs/PolyBench/datamining/covariance,12.159,12.173,0.999,0.222,12.149,1.001,0.396
Benchs/PolyBench/linear-algebra/blas/gemm,10.131,13.799,0.734,0.000,10.119,1.001,0.475
Benchs/PolyBench/linear-algebra/blas/gemver,9.502,10.266,0.926,0.000,9.553,0.995,0.427
Benchs/PolyBench/linear-algebra/blas/gesummv,5.562,5.580,0.997,0.000,5.555,1.001,0.025
Benchs/PolyBench/linear-algebra/blas/symm,96.901,96.047,1.009,0.000,96.913,1.000,0.891
Benchs/PolyBench/linear-algebra/blas/syrk,57.135,54.707,1.044,0.000,57.135,1.000,1.000
Benchs/PolyBench/linear-algebra/blas/trmm,91.703,90.461,1.014,0.000,91.779,0.999,0.623
Benchs/PolyBench/linear-algebra/kernels/2mm,11.197,11.320,0.989,0.000,11.198,1.000,0.891
Benchs/PolyBench/linear-algebra/kernels/3mm,17.879,18.046,0.991,0.000,17.880,1.000,0.922
Benchs/PolyBench/linear-algebra/kernels/atax,6.238,6.519,0.957,0.000,6.242,0.999,0.208
Benchs/PolyBench/linear-algebra/kernels/bicg,7.207,7.222,0.998,0.320,7.202,1.001,0.692
Benchs/PolyBench/linear-algebra/kernels/doitgen,14.967,16.303,0.918,0.000,14.902,1.004,0.148
Benchs/PolyBench/linear-algebra/kernels/mvt,9.094,9.786,0.929,0.000,9.003,1.010,0.270
Benchs/PolyBench/linear-algebra/solvers/cholesky,66.846,64.058,1.044,0.000,66.874,1.000,0.318
Benchs/PolyBench/linear-algebra/solvers/gramschmidt,22.721,22.729,1.000,0.682,22.733,0.999,0.636
Benchs/PolyBench/linear-algebra/solvers/lu,82.535,78.635,1.050,0.000,82.518,1.000,0.553
Benchs/PolyBench/linear-algebra/solvers/ludcmp,81.397,76.493,1.064,0.000,81.383,1.000,0.670
Benchs/PolyBench/linear-algebra/solvers/trisolv,5.246,5.445,0.964,0.000,5.247,1.000,0.582
Benchs/PolyBench/stencils/fdtd-2d,5.506,5.990,0.919,0.000,5.518,0.998,0.109
