strategy,factor,mean,std,median
EAE,0.00,20.719,0.017,20.719
EAE,0.05,19.949,0.033,19.938
EAE,0.10,19.044,0.008,19.046
EAE,0.15,18.091,0.007,18.089
EAE,0.20,17.105,0.009,17.102
EAE,0.25,16.076,0.007,16.076
EAE,0.30,15.016,0.005,15.015
EAE,0.35,13.892,0.005,13.891
EAE,0.40,12.661,0.019,12.657
EAE,0.45,11.327,0.011,11.327
EAE,0.50,9.876,0.023,9.881
EAE,0.55,8.271,0.020,8.280
EAE,0.60,6.664,0.015,6.670
EAE,0.65,5.203,0.017,5.194
EAE,0.70,4.335,0.019,4.332
EAE,0.75,4.122,0.012,4.122
EAE,0.80,4.098,0.016,4.092
EAE,0.85,4.102,0.011,4.100
EAE,0.90,3.963,0.010,3.962
EAE,0.95,3.640,0.007,3.641
