strategy,factor,mean,std,median
ORG,0.00,20.604,0.081,20.604
ORG,0.05,20.560,0.007,20.560
ORG,0.10,20.565,0.024,20.565
ORG,0.15,20.628,0.096,20.628
ORG,0.20,20.562,0.006,20.562
ORG,0.25,20.560,0.005,20.560
ORG,0.30,20.624,0.055,20.624
ORG,0.35,20.578,0.012,20.578
ORG,0.40,20.643,0.031,20.643
ORG,0.45,20.549,0.010,20.549
ORG,0.50,20.574,0.001,20.574
ORG,0.55,20.579,0.002,20.579
ORG,0.60,20.582,0.034,20.582
ORG,0.65,20.566,0.028,20.566
ORG,0.70,20.571,0.018,20.571
ORG,0.75,20.564,0.031,20.564
ORG,0.80,20.553,0.002,20.553
ORG,0.85,20.554,0.007,20.554
ORG,0.90,20.547,0.002,20.547
ORG,0.95,20.555,0.016,20.555
