strategy,factor,mean,std,median
dd,0.05,0.572,0.009,0.568
dd,0.1,0.577,0.009,0.574
dd,0.15,0.572,0.005,0.571
dd,0.2,0.574,0.009,0.578
dd,0.25,0.579,0.013,0.580
dd,0.3,0.573,0.007,0.575
dd,0.35,0.574,0.006,0.577
dd,0.4,0.578,0.006,0.581
dd,0.45,0.574,0.005,0.571
dd,0.5,0.571,0.004,0.572
dd,0.55,0.579,0.005,0.578
dd,0.6,0.571,0.007,0.568
dd,0.65,0.574,0.003,0.574
dd,0.7,0.594,0.032,0.585
dd,0.75,0.571,0.004,0.571
dd,0.8,0.576,0.006,0.576
dd,0.85,0.579,0.011,0.581
dd,0.9,0.575,0.010,0.576
dd,0.95,0.574,0.010,0.570
dd,0,0.568,0.005,0.569
