strategy,factor,mean,std,median
sd,0.05,0.766,0.273,0.582
sd,0.1,0.770,0.271,0.590
sd,0.15,0.771,0.275,0.582
sd,0.2,0.766,0.269,0.582
sd,0.25,0.769,0.271,0.584
sd,0.3,0.767,0.273,0.578
sd,0.35,0.768,0.269,0.579
sd,0.4,0.769,0.272,0.584
sd,0.45,0.762,0.262,0.583
sd,0.5,0.768,0.275,0.576
sd,0.55,0.771,0.275,0.580
sd,0.6,0.764,0.268,0.577
sd,0.65,0.771,0.277,0.577
sd,0.7,0.776,0.270,0.585
sd,0.75,0.782,0.298,0.577
sd,0.8,0.786,0.296,0.585
sd,0.85,0.771,0.274,0.583
sd,0.9,0.775,0.286,0.580
sd,0.95,0.773,0.281,0.583
sd,0,0.766,0.273,0.580
