strategy,factor,mean,std,median
ss,0.05,1.093,0.025,1.092
ss,0.1,1.093,0.026,1.102
ss,0.15,1.088,0.034,1.077
ss,0.2,1.089,0.026,1.092
ss,0.25,1.091,0.012,1.090
ss,0.3,1.099,0.016,1.104
ss,0.35,1.097,0.025,1.092
ss,0.4,1.089,0.026,1.088
ss,0.45,1.096,0.020,1.099
ss,0.5,1.120,0.108,1.085
ss,0.55,1.086,0.024,1.092
ss,0.6,1.087,0.025,1.092
ss,0.65,1.098,0.020,1.099
ss,0.7,1.089,0.020,1.093
ss,0.75,1.079,0.032,1.076
ss,0.8,1.080,0.024,1.084
ss,0.85,1.091,0.052,1.076
ss,0.9,1.084,0.062,1.073
ss,0.95,1.092,0.038,1.083
ss,0,1.087,0.060,1.070
