strategy,factor,mean,std,median
EAE_ikj,0.00,0.820,0.005,0.821
EAE_ikj,0.05,0.775,0.010,0.780
EAE_ikj,0.10,0.735,0.005,0.735
EAE_ikj,0.15,0.697,0.006,0.695
EAE_ikj,0.20,0.657,0.005,0.655
EAE_ikj,0.25,0.625,0.002,0.625
EAE_ikj,0.30,0.583,0.003,0.583
EAE_ikj,0.35,0.542,0.002,0.542
EAE_ikj,0.40,0.506,0.002,0.506
EAE_ikj,0.45,0.466,0.002,0.466
EAE_ikj,0.50,0.422,0.002,0.421
EAE_ikj,0.55,0.388,0.001,0.388
EAE_ikj,0.60,0.344,0.002,0.344
EAE_ikj,0.65,0.296,0.004,0.295
EAE_ikj,0.70,0.255,0.003,0.253
EAE_ikj,0.75,0.218,0.003,0.218
EAE_ikj,0.80,0.169,0.002,0.169
EAE_ikj,0.85,0.128,0.000,0.128
EAE_ikj,0.90,0.087,0.000,0.087
EAE_ikj,0.95,0.047,0.000,0.047
