strategy,factor,mean,std,median
ILP_ikj,0.00,0.666,0.005,0.665
ILP_ikj,0.05,0.658,0.012,0.663
ILP_ikj,0.10,0.638,0.012,0.636
ILP_ikj,0.15,0.643,0.010,0.640
ILP_ikj,0.20,0.643,0.013,0.643
ILP_ikj,0.25,0.642,0.011,0.642
ILP_ikj,0.30,0.650,0.008,0.652
ILP_ikj,0.35,0.654,0.007,0.654
ILP_ikj,0.40,0.656,0.009,0.660
ILP_ikj,0.45,0.648,0.016,0.639
ILP_ikj,0.50,0.657,0.005,0.656
ILP_ikj,0.55,0.378,0.001,0.378
ILP_ikj,0.60,0.336,0.001,0.336
ILP_ikj,0.65,0.298,0.003,0.298
ILP_ikj,0.70,0.253,0.002,0.252
ILP_ikj,0.75,0.212,0.003,0.212
ILP_ikj,0.80,0.171,0.002,0.170
ILP_ikj,0.85,0.130,0.001,0.130
ILP_ikj,0.90,0.090,0.001,0.090
ILP_ikj,0.95,0.047,0.000,0.047
