strategy,factor,mean,std,median
ORG,0.00,20.564,0.031,20.552
ORG,0.05,20.551,0.006,20.552
ORG,0.10,20.570,0.014,20.573
ORG,0.15,20.564,0.016,20.558
ORG,0.20,20.569,0.020,20.570
ORG,0.25,20.574,0.027,20.569
ORG,0.30,20.557,0.014,20.556
ORG,0.35,20.562,0.014,20.557
ORG,0.40,20.582,0.039,20.579
ORG,0.45,20.574,0.016,20.570
ORG,0.50,20.570,0.024,20.561
ORG,0.55,20.586,0.036,20.583
ORG,0.60,20.551,0.011,20.547
ORG,0.65,20.577,0.027,20.567
ORG,0.70,20.564,0.009,20.564
ORG,0.75,20.565,0.025,20.560
ORG,0.80,20.557,0.023,20.557
ORG,0.85,20.579,0.033,20.564
ORG,0.90,20.572,0.030,20.573
ORG,0.95,20.584,0.026,20.586
