strategy,factor,mean,std,median
ORG_ikj,0.00,0.664,0.011,0.667
ORG_ikj,0.05,0.652,0.006,0.651
ORG_ikj,0.10,0.640,0.007,0.638
ORG_ikj,0.15,0.665,0.010,0.667
ORG_ikj,0.20,0.666,0.008,0.668
ORG_ikj,0.25,0.657,0.013,0.663
ORG_ikj,0.30,0.672,0.005,0.673
ORG_ikj,0.35,0.667,0.012,0.670
ORG_ikj,0.40,0.672,0.006,0.671
ORG_ikj,0.45,0.649,0.013,0.644
ORG_ikj,0.50,0.677,0.004,0.677
ORG_ikj,0.55,0.661,0.004,0.661
ORG_ikj,0.60,0.667,0.010,0.669
ORG_ikj,0.65,0.654,0.011,0.649
ORG_ikj,0.70,0.651,0.003,0.651
ORG_ikj,0.75,0.648,0.002,0.648
ORG_ikj,0.80,0.648,0.001,0.649
ORG_ikj,0.85,0.658,0.011,0.662
ORG_ikj,0.90,0.666,0.008,0.670
ORG_ikj,0.95,0.665,0.010,0.668
