strategy,factor,mean,std,median
ILP,0.00,20.549,0.006,20.549
ILP,0.05,20.555,0.003,20.555
ILP,0.10,20.591,0.051,20.591
ILP,0.15,20.588,0.061,20.588
ILP,0.20,20.545,0.005,20.545
ILP,0.25,20.556,0.017,20.556
ILP,0.30,20.697,0.171,20.697
ILP,0.35,20.573,0.004,20.573
ILP,0.40,20.553,0.000,20.553
ILP,0.45,20.583,0.019,20.583
ILP,0.50,20.591,0.017,20.591
ILP,0.55,8.269,0.003,8.269
ILP,0.60,6.624,0.007,6.624
ILP,0.65,5.207,0.005,5.207
ILP,0.70,4.277,0.001,4.277
ILP,0.75,3.988,0.012,3.988
ILP,0.80,3.894,0.009,3.894
ILP,0.85,3.858,0.005,3.858
ILP,0.90,3.795,0.003,3.795
ILP,0.95,3.559,0.000,3.559
