strategy,factor,mean,std,median
dd,0.00,1.710,0.000,1.710
dd,0.05,1.710,0.000,1.710
dd,0.10,1.712,0.000,1.712
dd,0.15,1.709,0.000,1.709
dd,0.20,1.709,0.000,1.708
dd,0.25,1.708,0.001,1.707
dd,0.30,1.711,0.000,1.710
dd,0.35,1.713,0.000,1.712
dd,0.40,1.713,0.000,1.712
dd,0.45,1.710,0.000,1.710
dd,0.50,1.710,0.000,1.710
dd,0.55,1.713,0.000,1.713
dd,0.60,1.710,0.000,1.710
dd,0.65,1.719,0.000,1.718
dd,0.70,1.710,0.000,1.710
dd,0.75,1.780,0.001,1.780
dd,0.80,1.784,0.001,1.784
dd,0.85,1.719,0.000,1.719
dd,0.90,1.710,0.001,1.709
dd,0.95,1.718,0.000,1.718
