strategy,factor,mean,std,median
ds,0.00,3.253,0.000,3.253
ds,0.05,2.958,0.001,2.957
ds,0.10,2.697,0.000,2.697
ds,0.15,2.386,0.003,2.385
ds,0.20,2.133,0.000,2.133
ds,0.25,1.911,0.000,1.911
ds,0.30,1.648,0.000,1.648
ds,0.35,1.425,0.000,1.425
ds,0.40,1.224,0.000,1.224
ds,0.45,1.075,0.000,1.075
ds,0.50,0.868,0.000,0.868
ds,0.55,0.703,0.000,0.703
ds,0.60,0.552,0.000,0.552
ds,0.65,0.423,0.000,0.423
ds,0.70,0.306,0.000,0.305
ds,0.75,0.213,0.000,0.213
ds,0.80,0.138,0.000,0.138
ds,0.85,0.080,0.000,0.080
ds,0.90,0.039,0.000,0.039
ds,0.95,0.014,0.000,0.014
