strategy,factor,mean,std,median
sd,0.00,1.699,0.000,1.699
sd,0.05,1.705,0.001,1.705
sd,0.10,1.703,0.000,1.703
sd,0.15,1.700,0.000,1.700
sd,0.20,1.723,0.001,1.723
sd,0.25,1.710,0.001,1.709
sd,0.30,1.721,0.000,1.721
sd,0.35,1.712,0.001,1.712
sd,0.40,1.719,0.000,1.719
sd,0.45,1.791,0.000,1.790
sd,0.50,1.723,0.000,1.723
sd,0.55,1.728,0.000,1.728
sd,0.60,1.805,0.006,1.800
sd,0.65,1.764,0.009,1.761
sd,0.70,1.768,0.001,1.768
sd,0.75,1.863,0.015,1.854
sd,0.80,1.787,0.015,1.776
sd,0.85,1.736,0.005,1.734
sd,0.90,1.741,0.000,1.741
sd,0.95,1.733,0.000,1.733
