strategy,factor,mean,std,median
ss,0.00,3.286,0.000,3.286
ss,0.05,2.986,0.000,2.986
ss,0.10,2.667,0.000,2.667
ss,0.15,2.395,0.000,2.395
ss,0.20,2.152,0.000,2.152
ss,0.25,1.885,0.000,1.885
ss,0.30,1.657,0.000,1.656
ss,0.35,1.440,0.000,1.440
ss,0.40,1.232,0.000,1.232
ss,0.45,1.047,0.000,1.047
ss,0.50,0.878,0.000,0.878
ss,0.55,0.709,0.000,0.709
ss,0.60,0.561,0.000,0.561
ss,0.65,0.431,0.000,0.431
ss,0.70,0.316,0.000,0.316
ss,0.75,0.224,0.000,0.224
ss,0.80,0.148,0.000,0.148
ss,0.85,0.091,0.000,0.091
ss,0.90,0.049,0.000,0.049
ss,0.95,0.024,0.000,0.024
