,JobRuntime,Command,Factor,type,time1,time2,time3,time4,time5,mean,sd,median
0,67.064,cholesky,0.05,plp,67.064,67.038,67.012,67.072,66.875,67.00699999999999,0.0789746794865284,67.012
1,66.967,cholesky,0.10,plp,66.967,67.002,67.226,67.083,67.056,67.11159999999998,0.11290836992889447,67.083
2,67.18,cholesky,0.15,plp,67.18,66.952,67.024,66.99600000000001,67.066,67.05800000000002,0.07263607918934023,67.024
3,67.118,cholesky,0.20,plp,67.118,67.075,67.002,67.09899999999999,66.98,67.0402,0.0633498224149015,67.002
4,67.047,cholesky,0.25,plp,67.047,67.101,67.079,67.041,66.94800000000001,67.0388,0.05373267162536573,67.047
5,44.835,cholesky,0.30,plp,44.835,44.653,44.733000000000004,44.667,44.708,44.735200000000006,0.06196934726136787,44.733000000000004
6,42.317,cholesky,0.35,plp,42.317,42.277,42.44,42.378,42.177,42.35039999999999,0.10954588079886815,42.378
7,39.879,cholesky,0.40,plp,39.879,39.9,39.972,39.961999999999996,39.784,39.913799999999995,0.08239660187167971,39.961999999999996
8,37.382,cholesky,0.45,plp,37.382,37.47,37.536,37.461999999999996,37.373000000000005,37.4578,0.0793485979712306,37.461999999999996
9,34.931999999999995,cholesky,0.50,plp,34.931999999999995,34.773,34.93,34.909,34.995,34.9392,0.03258373827540304,34.93
10,32.231,cholesky,0.55,plp,32.231,32.162,32.164,32.234,32.159,32.1904,0.03850064934517403,32.164
11,29.404,cholesky,0.60,plp,29.404,29.309,29.328000000000003,29.383000000000003,29.401999999999997,29.369,0.03831448812133413,29.383000000000003
12,26.489,cholesky,0.65,plp,26.489,26.49,26.463,26.511,26.453000000000003,26.4758,0.023773935307389592,26.463
13,23.719,cholesky,0.70,plp,23.719,23.689,23.688000000000002,23.761,23.639,23.698999999999998,0.044961094292732484,23.688000000000002
14,20.896,cholesky,0.75,plp,20.896,20.886,20.858,20.845,20.811,20.8536,0.030517208260259086,20.858
15,18.025,cholesky,0.80,plp,18.025,18.033,18.102999999999998,18.016,17.98,18.045399999999997,0.05521141186385212,18.025
16,15.194,cholesky,0.85,plp,15.194,15.187000000000001,15.197000000000001,15.175,15.115,15.1756,0.03509700841952233,15.194
17,12.319,cholesky,0.90,plp,12.319,12.272,12.273,12.282,12.25,12.279399999999999,0.025105776227793048,12.273
18,9.434,cholesky,0.95,plp,9.434,9.421,9.406,9.407,9.396,9.4098,0.01425482374496379,9.406
19,6.013999999999999,cholesky,1.00,plp,6.013999999999999,6.039,6.0,6.006,6.002999999999999,6.0046,0.005813776741499256,6.002999999999999
0,60.113,cholesky,0.05,ess,60.113,60.03,60.1,60.177,60.04600000000001,60.1072,0.046783544115423494,60.1
1,60.424,cholesky,0.10,ess,60.424,60.128,59.821000000000005,60.013000000000005,60.016000000000005,60.019000000000005,0.24621027598375922,60.013000000000005
2,60.28,cholesky,0.15,ess,60.28,60.103,60.273,60.174,60.236999999999995,60.24739999999999,0.044354255714645324,60.273
3,60.371,cholesky,0.20,ess,60.371,60.298,60.369,60.256,60.236000000000004,60.3202,0.06810800246666952,60.369
4,60.357,cholesky,0.25,ess,60.357,60.263000000000005,60.286,60.35,60.36600000000001,60.32899999999999,0.03966106403010479,60.35
5,60.42100000000001,cholesky,0.30,ess,60.42100000000001,60.611000000000004,60.503,60.29600000000001,60.437,60.432,0.08474078120951875,60.437
