benchmark,factor,strategy,mean
atax,0.050,ESS,2.691
atax,0.100,ESS,3.543
atax,0.150,ESS,4.372
atax,0.200,ESS,5.183
atax,0.250,ESS,5.991
atax,0.300,ESS,6.816
atax,0.350,ESS,7.659
atax,0.400,ESS,8.472
atax,0.450,ESS,9.110
atax,0.500,ESS,9.375
atax,0.550,ESS,9.166
atax,0.600,ESS,8.560
atax,0.650,ESS,7.764
atax,0.700,ESS,6.937
atax,0.750,ESS,6.126
atax,0.800,ESS,5.322
atax,0.850,ESS,4.498
atax,0.900,ESS,3.628
atax,0.950,ESS,2.672
atax,0.050,EAE,2.115
atax,0.100,EAE,2.742
atax,0.150,EAE,3.254
atax,0.200,EAE,3.872
atax,0.250,EAE,4.247
atax,0.300,EAE,4.774
atax,0.350,EAE,5.336
atax,0.400,EAE,5.991
atax,0.450,EAE,6.302
atax,0.500,EAE,6.705
atax,0.550,EAE,6.444
atax,0.600,EAE,6.034
atax,0.650,EAE,5.230
atax,0.700,EAE,4.815
atax,0.750,EAE,4.079
atax,0.800,EAE,3.535
atax,0.850,EAE,3.088
atax,0.900,EAE,2.497
atax,0.950,EAE,1.813
atax,0.050,ORG,1.165
atax,0.100,ORG,1.168
atax,0.150,ORG,1.165
atax,0.200,ORG,1.169
atax,0.250,ORG,1.165
atax,0.300,ORG,1.168
atax,0.350,ORG,1.165
atax,0.400,ORG,1.168
atax,0.450,ORG,1.167
atax,0.500,ORG,1.167
atax,0.550,ORG,1.167
atax,0.600,ORG,1.165
atax,0.650,ORG,1.165
atax,0.700,ORG,1.169
atax,0.750,ORG,1.165
atax,0.800,ORG,1.165
atax,0.850,ORG,1.168
atax,0.900,ORG,1.168
atax,0.950,ORG,1.165
atax,0.050,PLP,2.451
atax,0.100,PLP,2.981
atax,0.150,PLP,3.555
atax,0.200,PLP,4.097
atax,0.250,PLP,4.648
atax,0.300,PLP,5.233
atax,0.350,PLP,5.831
atax,0.400,PLP,6.241
atax,0.450,PLP,6.881
atax,0.500,PLP,7.065
atax,0.550,PLP,6.878
atax,0.600,PLP,6.331
atax,0.650,PLP,5.778
atax,0.700,PLP,5.148
atax,0.750,PLP,4.541
atax,0.800,PLP,3.957
atax,0.850,PLP,3.301
atax,0.900,PLP,2.764
