Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1572753331.694	    10.236	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/blas/gemm && timeout --signal=TERM 0 ./gemm.exe 0.05 < /dev/null &> /dev/null
2	:	1572753341.932	    10.726	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/blas/gemm && timeout --signal=TERM 0 ./gemm.exe 0.10 < /dev/null &> /dev/null
3	:	1572753352.660	    10.303	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/blas/gemm && timeout --signal=TERM 0 ./gemm.exe 0.15 < /dev/null &> /dev/null
4	:	1572753362.966	    10.148	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/blas/gemm && timeout --signal=TERM 0 ./gemm.exe 0.20 < /dev/null &> /dev/null
5	:	1572753373.116	    10.218	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/blas/gemm && timeout --signal=TERM 0 ./gemm.exe 0.25 < /dev/null &> /dev/null
6	:	1572753383.336	    10.108	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/blas/gemm && timeout --signal=TERM 0 ./gemm.exe 0.30 < /dev/null &> /dev/null
7	:	1572753393.446	    10.296	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/blas/gemm && timeout --signal=TERM 0 ./gemm.exe 0.35 < /dev/null &> /dev/null
8	:	1572753403.745	    10.081	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/blas/gemm && timeout --signal=TERM 0 ./gemm.exe 0.40 < /dev/null &> /dev/null
9	:	1572753413.828	    10.244	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/blas/gemm && timeout --signal=TERM 0 ./gemm.exe 0.45 < /dev/null &> /dev/null
10	:	1572753424.075	    10.240	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/blas/gemm && timeout --signal=TERM 0 ./gemm.exe 0.50 < /dev/null &> /dev/null
11	:	1572753434.319	    10.186	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/blas/gemm && timeout --signal=TERM 0 ./gemm.exe 0.55 < /dev/null &> /dev/null
12	:	1572753444.507	    10.190	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/blas/gemm && timeout --signal=TERM 0 ./gemm.exe 0.60 < /dev/null &> /dev/null
13	:	1572753454.700	    10.141	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/blas/gemm && timeout --signal=TERM 0 ./gemm.exe 0.65 < /dev/null &> /dev/null
14	:	1572753464.844	    10.101	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/blas/gemm && timeout --signal=TERM 0 ./gemm.exe 0.70 < /dev/null &> /dev/null
15	:	1572753474.948	    10.331	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/blas/gemm && timeout --signal=TERM 0 ./gemm.exe 0.75 < /dev/null &> /dev/null
16	:	1572753485.281	    10.061	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/blas/gemm && timeout --signal=TERM 0 ./gemm.exe 0.80 < /dev/null &> /dev/null
17	:	1572753495.344	    10.229	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/blas/gemm && timeout --signal=TERM 0 ./gemm.exe 0.85 < /dev/null &> /dev/null
18	:	1572753505.576	     9.953	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/blas/gemm && timeout --signal=TERM 0 ./gemm.exe 0.90 < /dev/null &> /dev/null
19	:	1572753515.532	     9.996	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/blas/gemm && timeout --signal=TERM 0 ./gemm.exe 0.95 < /dev/null &> /dev/null
20	:	1572753525.531	    11.426	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/kernels/atax && timeout --signal=TERM 0 ./atax.exe 0.05 < /dev/null &> /dev/null
21	:	1572753536.959	    11.652	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/kernels/atax && timeout --signal=TERM 0 ./atax.exe 0.10 < /dev/null &> /dev/null
22	:	1572753548.615	    12.069	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/kernels/atax && timeout --signal=TERM 0 ./atax.exe 0.15 < /dev/null &> /dev/null
23	:	1572753560.687	    12.606	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/kernels/atax && timeout --signal=TERM 0 ./atax.exe 0.20 < /dev/null &> /dev/null
24	:	1572753573.296	    13.142	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/kernels/atax && timeout --signal=TERM 0 ./atax.exe 0.25 < /dev/null &> /dev/null
25	:	1572753586.441	    13.628	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/kernels/atax && timeout --signal=TERM 0 ./atax.exe 0.30 < /dev/null &> /dev/null
26	:	1572753600.073	    14.209	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/kernels/atax && timeout --signal=TERM 0 ./atax.exe 0.35 < /dev/null &> /dev/null
27	:	1572753614.284	    14.689	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/kernels/atax && timeout --signal=TERM 0 ./atax.exe 0.40 < /dev/null &> /dev/null
28	:	1572753628.976	    15.063	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/kernels/atax && timeout --signal=TERM 0 ./atax.exe 0.45 < /dev/null &> /dev/null
