Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1580086415.408	     2.322	0	0	0	0	cd /home/guilhermel/Programs/tf/Benchs/TSVC/Recurrences-dbl && timeout --signal=TERM 0 ./INS_Recurrences-dbl.exe  20000 14  < /dev/null &> /dev/null
2	:	1580086417.733	     2.761	0	0	0	0	cd /home/guilhermel/Programs/tf/Benchs/TSVC/Recurrences-flt && timeout --signal=TERM 0 ./INS_Recurrences-flt.exe  20000 5  < /dev/null &> /dev/null
3	:	1580086420.497	     0.851	0	0	0	0	cd /home/guilhermel/Programs/tf/Benchs/VersaBench/dbms && timeout --signal=TERM 0 ./INS_dbms.exe -i /home/guilhermel/Programs/tf/Benchs/VersaBench/dbms/dbms.ref.in < /dev/null &> /dev/null
4	:	1580086421.350	     0.578	0	0	0	0	cd /home/guilhermel/Programs/tf/Benchs/Misc/ffbench && timeout --signal=TERM 0 ./INS_ffbench.exe   < /dev/null &> /dev/null
5	:	1580086421.930	     3.315	0	0	0	0	cd /home/guilhermel/Programs/tf/Benchs/VersaBench/bmm && timeout --signal=TERM 0 ./INS_bmm.exe 1024 64 < /dev/null &> /dev/null
6	:	1580086425.248	     0.038	0	0	0	0	cd /home/guilhermel/Programs/tf/Benchs/McCat/08-main && timeout --signal=TERM 0 ./INS_08-main.exe  < /dev/null &> /dev/null
7	:	1580086425.288	     0.812	0	0	0	0	cd /home/guilhermel/Programs/tf/Benchs/MallocBench/cfrac && timeout --signal=TERM 0 ./INS_cfrac.exe 41757646344123832613190542166099121 < /dev/null &> /dev/null
8	:	1580086426.103	     5.130	0	0	0	0	cd /home/guilhermel/Programs/tf/Benchs/DOE_ProxyApps_C/miniGMG && timeout --signal=TERM 0 ./INS_miniGMG.exe  6  2 2 2  1 1 1  < /dev/null &> /dev/null
9	:	1580086431.235	     0.077	0	0	0	0	cd /home/guilhermel/Programs/tf/Benchs/FreeBench/neural && timeout --signal=TERM 0 ./INS_neural.exe /home/guilhermel/Programs/tf/Benchs/FreeBench/neural/test.in < /dev/null &> /dev/null
10	:	1580086431.314	     5.157	0	0	0	0	cd /home/guilhermel/Programs/tf/Benchs/cBench/consumer_jpeg_c/src && ./__run 1 INS_consumer_jpeg_c.exe
11	:	1580086436.474	     4.758	0	0	0	0	cd /home/guilhermel/Programs/tf/Benchs/tramp3d-v4 && timeout --signal=TERM 0 ./INS_tramp3d-v4.exe  --cartvis 1.0 0.0 --rhomin 1e-8 -n 4 --domain 32 32 32 < /dev/null &> /dev/null
