Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1580080860.226	     2.980	0	0	0	0	cd /home/guilhermel/Programs/tf/Benchs/TSVC/Recurrences-dbl && timeout --signal=TERM 0 ./INS_Recurrences-dbl.exe  20000 14  < /dev/null &> /dev/null
2	:	1580080863.210	     3.417	0	0	0	0	cd /home/guilhermel/Programs/tf/Benchs/TSVC/Recurrences-flt && timeout --signal=TERM 0 ./INS_Recurrences-flt.exe  20000 5  < /dev/null &> /dev/null
3	:	1580080866.630	     0.002	0	0	127	0	cd /home/guilhermel/Programs/tf/Benchs/VersaBench/dbms && timeout --signal=TERM 0 ./INS_dbms.exe -i /home/guilhermel/Programs/tf/Benchs/VersaBench/dbms/dbms.ref.in < /dev/null &> /dev/null
4	:	1580080866.635	     0.003	0	0	127	0	cd /home/guilhermel/Programs/tf/Benchs/Misc/ffbench && timeout --signal=TERM 0 ./INS_ffbench.exe   < /dev/null &> /dev/null
5	:	1580080866.641	     2.197	0	0	0	0	cd /home/guilhermel/Programs/tf/Benchs/VersaBench/bmm && timeout --signal=TERM 0 ./INS_bmm.exe 1024 64 < /dev/null &> /dev/null
6	:	1580080868.841	     0.070	0	0	0	0	cd /home/guilhermel/Programs/tf/Benchs/McCat/08-main && timeout --signal=TERM 0 ./INS_08-main.exe  < /dev/null &> /dev/null
7	:	1580080868.914	     0.003	0	0	127	0	cd /home/guilhermel/Programs/tf/Benchs/MallocBench/cfrac && timeout --signal=TERM 0 ./INS_cfrac.exe 41757646344123832613190542166099121 < /dev/null &> /dev/null
8	:	1580080868.919	     0.004	0	0	127	0	cd /home/guilhermel/Programs/tf/Benchs/DOE_ProxyApps_C/miniGMG && timeout --signal=TERM 0 ./INS_miniGMG.exe  6  2 2 2  1 1 1  < /dev/null &> /dev/null
9	:	1580080868.925	     0.078	0	0	0	0	cd /home/guilhermel/Programs/tf/Benchs/FreeBench/neural && timeout --signal=TERM 0 ./INS_neural.exe /home/guilhermel/Programs/tf/Benchs/FreeBench/neural/test.in < /dev/null &> /dev/null
10	:	1580080869.006	     0.004	0	0	127	0	cd /home/guilhermel/Programs/tf/Benchs/cBench/consumer_jpeg_c/src && ./__run 1 INS_consumer_jpeg_c.exe
11	:	1580080869.013	     0.003	0	0	127	0	cd /home/guilhermel/Programs/tf/Benchs/tramp3d-v4 && timeout --signal=TERM 0 ./INS_tramp3d-v4.exe  --cartvis 1.0 0.0 --rhomin 1e-8 -n 4 --domain 32 32 32 < /dev/null &> /dev/null
12	:	1580080869.019	     1.717	0	0	0	0	cd /home/guilhermel/Programs/tf/Benchs/TSVC/LinearDependence-flt && timeout --signal=TERM 0 ./INS_LinearDependence-flt.exe  3570 5  < /dev/null &> /dev/null
13	:	1580080870.739	     2.289	0	0	0	0	cd /home/guilhermel/Programs/tf/Benchs/TSVC/LinearDependence-dbl && timeout --signal=TERM 0 ./INS_LinearDependence-dbl.exe  3570 14  < /dev/null &> /dev/null
14	:	1580080873.031	     0.003	0	0	127	0	cd /home/guilhermel/Programs/tf/Benchs/MallocBench/gs && timeout --signal=TERM 0 ./INS_gs.exe -DNODISPLAY /home/guilhermel/Programs/tf/Benchs/MallocBench/gs/INPUT/large.ps < /dev/null &> /dev/null
15	:	1580080873.036	     0.003	0	0	127	0	cd /home/guilhermel/Programs/tf/Benchs/MallocBench/espresso && timeout --signal=TERM 0 ./INS_expresso.exe -t /home/guilhermel/Programs/tf/Benchs/MallocBench/espresso/INPUT/largest.espresso < /dev/null &> /dev/null
16	:	1580080873.041	     0.004	0	0	127	0	cd /home/guilhermel/Programs/tf/Benchs/Olden/health && timeout --signal=TERM 0 ./INS_health.exe 9 20 1 < /dev/null &> /dev/null
17	:	1580080873.048	     1.652	0	0	0	0	cd /home/guilhermel/Programs/tf/Benchs/TSVC/StatementReordering-flt && timeout --signal=TERM 0 ./INS_StatementReordering-flt.exe  20000 5  < /dev/null &> /dev/null
18	:	1580080874.703	     2.523	0	0	0	0	cd /home/guilhermel/Programs/tf/Benchs/TSVC/StatementReordering-dbl && timeout --signal=TERM 0 ./INS_StatementReordering-dbl.exe  20000 14  < /dev/null &> /dev/null
19	:	1580080877.229	     2.375	0	0	0	0	cd /home/guilhermel/Programs/tf/Benchs/TSVC/Expansion-dbl && timeout --signal=TERM 0 ./INS_Expansion-dbl.exe  4160 14  < /dev/null &> /dev/null
20	:	1580080879.606	     1.335	0	0	0	0	cd /home/guilhermel/Programs/tf/Benchs/TSVC/Expansion-flt && timeout --signal=TERM 0 ./INS_Expansion-flt.exe  4160 5  < /dev/null &> /dev/null
21	:	1580080880.944	     2.025	0	0	0	0	cd /home/guilhermel/Programs/tf/Benchs/TSVC/ControlLoops-dbl && timeout --signal=TERM 0 ./INS_ControlLoops-dbl.exe  1640 14  < /dev/null &> /dev/null
22	:	1580080882.971	     1.500	0	0	0	0	cd /home/guilhermel/Programs/tf/Benchs/TSVC/ControlLoops-flt && timeout --signal=TERM 0 ./INS_ControlLoops-flt.exe  1640 5  < /dev/null &> /dev/null
23	:	1580080884.474	     0.003	0	0	127	0	cd /home/guilhermel/Programs/tf/Benchs/Ptrdist/anagram && timeout --signal=TERM 0 ./INS_anagram.exe  words 2  < input.OUT &> /dev/null
24	:	1580080884.480	     0.003	0	0	127	0	cd /home/guilhermel/Programs/tf/Benchs/cBench/consumer_lame/src && ./__run 1 INS_consumer_lame.exe
25	:	1580080884.487	     0.003	0	0	127	0	cd /home/guilhermel/Programs/tf/Benchs/ASCI_Purple && timeout --signal=TERM 0 ./INS_smg2000.exe  -n 30 15 30 -c 0.1 1.0 10.0  < /dev/null &> /dev/null
26	:	1580080884.494	     0.003	0	0	127	0	cd /home/guilhermel/Programs/tf/Benchs/FreeBench/distray && timeout --signal=TERM 0 ./INS_distray.exe /home/guilhermel/Programs/tf/Benchs/FreeBench/distray/test.in < /dev/null &> /dev/null
27	:	1580080884.500	     0.006	0	0	127	0	cd /home/guilhermel/Programs/tf/Benchs/cBench/consumer_jpeg_d/src && ./__run 1 INS_consumer_jpeg_d.exe
28	:	1580080884.508	     0.006	0	0	127	0	cd /home/guilhermel/Programs/tf/Benchs/mediabench/g721/g721encode && timeout --signal=TERM 0 ./INS_g721.exe  <  ../data/clinton.pcm  &> /dev/null
